SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
SREIBNPNCD, ND, 10-Jul-2019, 950.00, 890.00, 890.00, 890.00, 890.00, 890.00, 890.00, 59, 0.53, 1, 59, 100.00
SREIBNPNCD, NJ, 10-Jul-2019, 881.00, 880.00, 880.00, 880.00, 880.00, 880.00, 880.00, 151, 1.33, 1, 151, 100.00
SREIBNPNCD, NL, 10-Jul-2019, 828.00, 840.00, 840.00, 840.00, 840.00, 840.00, 840.00, 195, 1.64, 2, 195, 100.00
SREIBNPNCD, NO, 10-Jul-2019, 810.00, 811.00, 830.00, 811.00, 830.00, 830.00, 817.33, 15, 0.12, 2, 15, 100.00
SREIBNPNCD, NP, 10-Jul-2019, 729.00, 750.00, 835.00, 729.00, 835.00, 835.00, 782.21, 600, 4.69, 3, 300, 50.00
SREIBNPNCD, NU, 10-Jul-2019, 850.00, 850.00, 870.00, 850.00, 870.00, 870.00, 850.77, 26, 0.22, 2, 26, 100.00
SREINFRA, EQ, 10-Jul-2019, 17.40, 17.60, 17.60, 16.40, 16.40, 16.60, 16.87, 522390, 88.13, 1388, 358201, 68.57
SREINFRA, NW, 10-Jul-2019, 939.00, 925.00, 940.00, 925.00, 940.00, 940.00, 933.58, 348, 3.25, 4, 199, 57.18
SREINFRA, NX, 10-Jul-2019, 977.55, 900.00, 900.00, 900.00, 900.00, 900.00, 900.00, 28, 0.25, 1, 28, 100.00
SREINFRA, NZ, 10-Jul-2019, 901.16, 925.00, 925.00, 925.00, 925.00, 925.00, 925.00, 55, 0.51, 1, 55, 100.00
SREINFRA, Y1, 10-Jul-2019, 840.00, 840.00, 840.00, 840.00, 840.00, 840.00, 840.00, 30, 0.25, 2, 30, 100.00
SREINFRA, Y5, 10-Jul-2019, 910.00, 925.00, 925.00, 920.00, 925.00, 925.00, 924.28, 35, 0.32, 7, 32, 91.43
SREINFRA, Y8, 10-Jul-2019, 929.00, 905.00, 905.00, 905.00, 905.00, 905.00, 905.00, 20, 0.18, 1, 20, 100.00
SREINFRA, Y9, 10-Jul-2019, 826.00, 850.00, 850.00, 840.01, 840.01, 840.01, 848.98, 98, 0.83, 2, 98, 100.00
SRF, EQ, 10-Jul-2019, 2796.00, 2798.80, 2799.00, 2740.00, 2768.00, 2761.95, 2762.93, 329101, 9092.84, 33570, 81252, 24.69
SRHHYPOLTD, EQ, 10-Jul-2019, 113.75, 114.10, 117.45, 113.50, 117.45, 116.30, 114.64, 1584, 1.82, 32, 1365, 86.17
SRIPIPES, EQ, 10-Jul-2019, 181.00, 180.00, 185.50, 180.00, 182.90, 181.75, 183.77, 14787, 27.17, 388, 8766, 59.28
SRSLTD, BZ, 10-Jul-2019, 0.30, 0.30, 0.30, 0.25, 0.30, 0.30, 0.26, 97407, 0.26, 23, -, -
SRTRANSFIN, EQ, 10-Jul-2019, 1052.40, 1058.00, 1067.35, 1025.10, 1033.00, 1034.20, 1040.94, 1345451, 14005.31, 46094, 528302, 39.27
SRTRANSFIN, Y6, 10-Jul-2019, 1893.00, 1918.00, 1918.00, 1910.00, 1910.00, 1910.00, 1915.26, 76, 1.46, 3, 76, 100.00
SRTRANSFIN, Y9, 10-Jul-2019, 1018.00, 1028.00, 1028.00, 1018.00, 1022.00, 1022.00, 1022.01, 300, 3.07, 5, 300, 100.00
SRTRANSFIN, YB, 10-Jul-2019, 1005.85, 1005.00, 1020.00, 1005.00, 1020.00, 1020.00, 1012.50, 200, 2.03, 4, 200, 100.00
SRTRANSFIN, YH, 10-Jul-2019, 965.00, 989.00, 989.00, 942.01, 955.00, 951.63, 949.97, 914, 8.68, 23, 811, 88.73
SRTRANSFIN, YK, 10-Jul-2019, 955.05, 960.00, 961.00, 947.47, 960.00, 960.00, 952.64, 65, 0.62, 9, 40, 61.54
SRTRANSFIN, YL, 10-Jul-2019, 954.90, 938.66, 938.66, 938.60, 938.60, 938.60, 938.63, 200, 1.88, 2, 200, 100.00
SRTRANSFIN, YN, 10-Jul-2019, 1030.00, 1030.00, 1030.00, 1030.00, 1030.00, 1030.00, 1030.00, 500, 5.15, 13, 500, 100.00
SRTRANSFIN, YQ, 10-Jul-2019, 1021.60, 1020.00, 1034.90, 1020.00, 1034.90, 1034.48, 1032.53, 148, 1.53, 4, 148, 100.00
SRTRANSFIN, YU, 10-Jul-2019, 1003.00, 1004.85, 1004.85, 1004.85, 1004.85, 1004.85, 1004.85, 10, 0.10, 1, 10, 100.00
SRTRANSFIN, YV, 10-Jul-2019, 1000.00, 1007.00, 1007.00, 1007.00, 1007.00, 1007.00, 1007.00, 90, 0.91, 8, 90, 100.00
SRTRANSFIN, YW, 10-Jul-2019, 977.00, 976.00, 976.00, 976.00, 976.00, 976.00, 976.00, 20, 0.20, 1, 20, 100.00
SRTRANSFIN, YX, 10-Jul-2019, 1005.00, 998.00, 998.00, 998.00, 998.00, 998.00, 998.00, 100, 1.00, 3, 100, 100.00
SRTRANSFIN, YZ, 10-Jul-2019, 1005.00, 995.00, 995.00, 995.00, 995.00, 995.00, 995.00, 50, 0.50, 2, 50, 100.00
SSWL, EQ, 10-Jul-2019, 782.65, 777.00, 786.00, 763.00, 775.50, 781.80, 776.68, 10954, 85.08, 863, 5625, 51.35
STAMPEDE, EQ, 10-Jul-2019, 0.90, 0.85, 0.95, 0.85, 0.85, 0.85, 0.86, 210469, 1.82, 78, 190669, 90.59
STAN, DR, 10-Jul-2019, 56.25, 57.60, 57.80, 56.50, 57.45, 57.05, 57.28, 1129, 0.65, 47, 877, 77.68
STAR, EQ, 10-Jul-2019, 379.15, 378.95, 381.50, 369.20, 374.95, 374.95, 374.97, 817906, 3066.92, 30016, 177608, 21.71
STARCEMENT, EQ, 10-Jul-2019, 114.10, 114.50, 114.90, 111.25, 112.10, 112.35, 113.36, 12068, 13.68, 383, 5944, 49.25
STARPAPER, EQ, 10-Jul-2019, 102.25, 103.15, 104.05, 99.95, 100.05, 100.30, 101.70, 19341, 19.67, 631, 11692, 60.45
STCINDIA, EQ, 10-Jul-2019, 109.60, 109.65, 110.50, 107.55, 108.45, 108.35, 108.71, 45403, 49.36, 945, 12933, 28.48
STEELCITY, EQ, 10-Jul-2019, 44.55, 42.80, 43.80, 41.30, 41.30, 41.75, 42.46, 31788, 13.50, 206, 27091, 85.22
STEELXIND, EQ, 10-Jul-2019, 11.85, 11.85, 11.85, 10.75, 10.80, 10.85, 11.18, 11463, 1.28, 92, 10534, 91.90
STEL, EQ, 10-Jul-2019, 80.95, 81.70, 83.60, 78.10, 79.50, 79.35, 80.78, 4036, 3.26, 137, 3063, 75.89
STERTOOLS, EQ, 10-Jul-2019, 206.05, 207.55, 209.95, 203.30, 204.00, 205.90, 207.56, 214, 0.44, 42, 169, 78.97
STINDIA, EQ, 10-Jul-2019, 7.55, 7.55, 7.55, 7.20, 7.20, 7.20, 7.21, 275, 0.02, 5, 275, 100.00
STRTECH, EQ, 10-Jul-2019, 161.70, 161.70, 164.00, 159.05, 162.55, 162.40, 161.60, 882944, 1426.85, 16627, 358930, 40.65
SUBCAPCITY, BE, 10-Jul-2019, 7.75, 7.40, 7.40, 7.40, 7.40, 7.40, 7.40, 25, 0.00, 1, -, -
SUBEX, EQ, 10-Jul-2019, 5.75, 5.80, 5.90, 5.75, 5.75, 5.75, 5.77, 325846, 18.82, 205, 232607, 71.39
SUBROS, EQ, 10-Jul-2019, 233.10, 232.05, 234.10, 230.35, 233.00, 232.55, 232.15, 10571, 24.54, 286, 8140, 77.00
SUDARSCHEM, EQ, 10-Jul-2019, 323.95, 321.95, 324.45, 316.20, 317.00, 317.00, 318.53, 9217, 29.36, 443, 6311, 68.47
