Date,Open,High,Low,Close,Adj Close,Volume
2018-08-27,166.779999,167.250000,166.139999,166.869995,164.000275,1406800
2018-08-28,167.380005,167.899994,166.580002,167.669998,164.786514,1668500
2018-08-29,167.550003,169.919998,167.550003,169.770004,166.850418,1370800
2018-08-30,169.559998,169.770004,168.130005,168.630005,165.730011,1480000
2018-08-31,168.710007,169.559998,168.199997,169.070007,166.162460,2803300
2018-09-04,168.759995,169.589996,167.880005,169.500000,166.585052,1676900
2018-09-05,169.050003,169.289993,167.500000,168.639999,165.739838,1869000
2018-09-06,168.279999,169.919998,167.839996,169.360001,166.447449,1813000
2018-09-07,168.869995,169.669998,168.460007,169.070007,166.162460,1826600
2018-09-10,169.860001,171.000000,169.449997,169.550003,166.634186,1888500
2018-09-11,169.710007,171.009995,169.229996,170.690002,167.754578,1963400
2018-09-12,170.690002,171.029999,169.509995,170.350006,167.420425,1743300
2018-09-13,171.160004,172.509995,170.850006,172.070007,169.110855,1586500
2018-09-14,171.740005,172.270004,171.029999,171.639999,168.688248,2212900
2018-09-17,171.449997,171.720001,170.759995,171.039993,168.098557,1770900
2018-09-18,171.139999,172.830002,171.059998,172.410004,169.445007,2078400
2018-09-19,172.820007,173.309998,171.850006,173.139999,170.162445,1531100
2018-09-20,173.899994,174.389999,173.259995,174.130005,171.135422,1818900
2018-09-21,174.750000,175.639999,173.869995,174.190002,171.194397,4743000
2018-09-24,173.059998,173.250000,172.240005,172.630005,169.661224,2074700
2018-09-25,173.539993,174.500000,172.429993,172.820007,169.847961,1979900
2018-09-26,173.070007,174.550003,172.460007,172.970001,169.995377,2623900
2018-09-27,168.929993,173.929993,168.699997,170.050003,167.125595,3112800
2018-09-28,169.990005,170.800003,169.059998,170.199997,167.273010,2384500
2018-10-01,171.139999,174.179993,171.110001,173.509995,170.526077,2336700
2018-10-02,173.119995,173.559998,172.509995,173.149994,170.172272,1762700
2018-10-03,173.720001,174.820007,173.660004,174.139999,171.145248,1655500
2018-10-04,173.869995,174.139999,170.479996,171.860001,168.904465,1779100
2018-10-05,171.529999,172.149994,170.110001,171.229996,168.285294,1485800
2018-10-08,170.339996,171.740005,168.649994,169.899994,166.978165,1693600
2018-10-09,169.210007,169.880005,168.110001,168.800003,165.897095,2027900
2018-10-10,168.500000,168.630005,161.580002,161.740005,158.958511,2972300
2018-10-11,161.119995,161.539993,155.110001,156.000000,153.317215,4752800
2018-10-12,159.589996,160.229996,157.389999,159.440002,156.698059,3376300
2018-10-15,158.940002,159.619995,157.839996,157.919998,155.204193,1945100
2018-10-16,159.570007,161.880005,158.899994,161.199997,158.427780,2830200
2018-10-17,159.149994,160.360001,157.800003,158.899994,157.594681,2687200
2018-10-18,158.440002,158.440002,155.169998,156.199997,154.916855,2196000
2018-10-19,156.009995,158.649994,155.429993,158.279999,156.979767,2426100
2018-10-22,158.089996,160.289993,157.029999,159.550003,158.239349,1958300
2018-10-23,156.699997,159.320007,155.580002,158.089996,156.791336,2204000
2018-10-24,157.869995,158.440002,153.000000,153.119995,151.862152,2473700
2018-10-25,155.399994,157.960007,154.880005,156.919998,155.630951,2313700
2018-10-26,154.300003,156.080002,152.860001,154.449997,153.181229,2472500
2018-10-29,156.050003,156.639999,150.630005,152.740005,151.485291,1909200
2018-10-30,153.440002,154.860001,152.309998,154.619995,153.349838,2296400
2018-10-31,156.220001,159.449997,156.029999,157.619995,156.325195,2414900
2018-11-01,157.899994,159.210007,157.440002,158.580002,157.277313,1771600
2018-11-02,158.940002,160.669998,155.990005,157.389999,156.097092,1998600
2018-11-05,157.630005,158.960007,156.729996,158.600006,157.297150,1705200
2018-11-06,158.960007,159.970001,158.699997,159.419998,158.110413,1364700
2018-11-07,160.000000,163.990005,159.990005,163.869995,162.523849,2278400
2018-11-08,162.869995,164.539993,162.869995,164.500000,163.148682,1294400
2018-11-09,164.029999,165.649994,163.139999,165.149994,163.793335,1882100
2018-11-12,164.520004,164.949997,162.320007,162.440002,161.105606,2263800
2018-11-13,162.669998,163.839996,160.929993,161.449997,160.123734,1486700
2018-11-14,163.220001,163.399994,159.380005,160.289993,158.973251,2819900
2018-11-15,159.919998,162.949997,159.429993,162.490005,161.155197,2561800
2018-11-16,161.710007,165.830002,161.690002,165.000000,163.644577,3218500
2018-11-19,164.500000,165.940002,162.110001,162.770004,161.432892,2194400
2018-11-20,160.199997,160.970001,157.740005,158.899994,157.594681,2224800
2018-11-21,160.000000,160.000000,156.740005,156.979996,155.690445,2525600
2018-11-23,155.850006,157.869995,155.250000,156.929993,155.640854,938800
2018-11-26,158.539993,159.479996,157.380005,158.399994,157.098785,2127500
2018-11-27,158.039993,159.380005,157.509995,159.110001,157.802963,1930000
2018-11-28,160.009995,162.360001,159.289993,162.210007,160.877502,2784000
2018-11-29,162.210007,162.460007,160.809998,161.070007,159.746857,2414600
2018-11-30,161.770004,164.539993,160.979996,164.520004,163.168518,5832800
2018-12-03,165.970001,167.070007,164.679993,166.820007,165.449631,2319800
2018-12-04,166.460007,168.369995,164.089996,164.210007,162.861069,3108900
2018-12-06,160.710007,161.740005,156.639999,159.250000,157.941803,6012000
2018-12-07,158.880005,160.779999,156.240005,157.449997,156.156586,3090000
2018-12-10,157.020004,158.649994,154.410004,157.720001,156.424377,2280800
2018-12-11,160.000000,160.830002,157.410004,158.300003,156.999619,1786300
2018-12-12,160.259995,161.210007,158.529999,158.619995,157.316971,2423400
2018-12-13,159.789993,161.089996,159.220001,160.250000,158.933594,2227100
2018-12-14,158.330002,158.639999,155.119995,155.529999,154.252365,2336100
